,id,city_x,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2,X_conds,X_dewptm,X_hum,X_rain,X_tempm,X_wdire,city_y,time
0,335984,Delhi,19/04/08,MF Maharoof,Feroz Shah Kotla,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,N,,Aleem Dar,GA Pratapkumar,Haze,11.0,32.0,0,25.0,,Delhi,18:00:00
1,335998,Delhi,30/04/08,GD McGrath,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,10.0,N,,Aleem Dar,I Shivram,Haze,15.0,37.0,0,27.0,,Delhi,18:00:00
2,336009,Delhi,08/05/08,MS Dhoni,Feroz Shah Kotla,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,N,,Aleem Dar,RB Tiffin,Blowing Sand,12.0,23.0,0,30.0,West,Delhi,18:00:00
3,336020,Delhi,15/05/08,A Mishra,Feroz Shah Kotla,0,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,Delhi Capitals,runs,12.0,N,,BG Jerling,GA Pratapkumar,Haze,23.0,62.0,0,29.0,,Delhi,18:00:00
4,336022,Delhi,17/05/08,DPMD Jayawardene,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,runs,6.0,N,D/L,AV Jayaprakash,RE Koertzen,Thunderstorms and Rain,17.0,44.0,1,27.0,WSW,Delhi,18:00:00
5,336032,Delhi,24/05/08,KD Karthik,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,wickets,5.0,N,,BF Bowden,K Hariharan,Haze,22.0,68.0,0,27.0,,Delhi,18:00:00
6,419114,Delhi,17/03/10,SR Tendulkar,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,runs,98.0,N,,BR Doctrove,SK Tarapore,Haze,18.0,67.0,0,23.0,,Delhi,18:00:00
7,419116,Delhi,19/03/10,ML Hayden,Feroz Shah Kotla,0,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,wickets,5.0,N,,BR Doctrove,SK Tarapore,Mist,18.0,70.0,0,22.0,,Delhi,18:00:00
8,419131,Delhi,29/03/10,DA Warner,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Delhi Capitals,runs,40.0,N,,SS Hazare,SJA Taufel,Haze,17.0,49.0,0,26.0,,Delhi,18:00:00
9,419134,Delhi,31/03/10,KD Karthik,Feroz Shah Kotla,0,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,67.0,N,,HDPK Dharmasena,SJA Taufel,Haze,15.0,36.0,0,28.0,,Delhi,18:00:00
10,419140,Delhi,04/04/10,PD Collingwood,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,runs,37.0,N,,BF Bowden,M Erasmus,Haze,15.0,37.0,0,27.0,,Delhi,18:00:00
11,419149,Delhi,11/04/10,PP Chawla,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,7.0,N,,BF Bowden,AM Saheba,Haze,18.0,46.0,0,27.0,,Delhi,18:00:00
12,419160,Delhi,18/04/10,A Symonds,Feroz Shah Kotla,0,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,11.0,N,,BR Doctrove,SK Tarapore,Haze,19.0,37.0,0,31.0,,Delhi,18:00:00
13,501201,Delhi,10/04/11,SL Malinga,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,8.0,N,,AM Saheba,RB Tiffin,Haze,15.0,54.0,0,23.0,,Delhi,18:00:00
14,501216,Delhi,19/04/11,S Sohal,Feroz Shah Kotla,0,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,16.0,N,,PR Reiffel,RJ Tucker,Haze,11.0,30.0,0,26.0,,Delhi,18:00:00
15,501223,Delhi,23/04/11,DA Warner,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,runs,29.0,N,,S Asnani,RE Koertzen,Haze,16.0,47.0,0,25.0,,Delhi,18:00:00
16,501227,Delhi,26/04/11,V Kohli,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,3.0,N,,S Asnani,RJ Tucker,Smoke,16.0,42.0,0,27.0,East,Delhi,18:00:00
17,501230,Delhi,28/04/11,MK Tiwary,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,runs,17.0,N,,PR Reiffel,RJ Tucker,Haze,21.0,52.0,0,30.0,,Delhi,18:00:00
18,501238,Delhi,02/05/11,P Parameswaran,Feroz Shah Kotla,0,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,7.0,N,,Asad Rauf,SL Shastri,Haze,20.0,44.0,0,31.0,,Delhi,18:00:00
19,501265,Delhi,21/05/11,,Feroz Shah Kotla,0,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,,,,,,SS Hazare,RJ Tucker,Overcast,21.0,77.0,0,24.0,NNW,Delhi,18:00:00
20,548316,Delhi,10/04/12,M Morkel,Feroz Shah Kotla,0,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,wickets,8.0,N,,Asad Rauf,SK Tarapore,Partly Cloudy,17.0,46.0,0,26.0,,Delhi,18:00:00
21,548321,Delhi,19/04/12,KP Pietersen,Feroz Shah Kotla,0,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Delhi Capitals,wickets,5.0,N,,BF Bowden,SK Tarapore,Haze,16.0,32.0,0,30.0,WNW,Delhi,18:00:00
22,548333,Delhi,21/04/12,SC Ganguly,Feroz Shah Kotla,0,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,field,Rising Pune Supergiant,runs,20.0,N,,Asad Rauf,S Das,Haze,16.0,40.0,0,27.0,WNW,Delhi,18:00:00
23,548342,Delhi,27/04/12,V Sehwag,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37.0,N,,Aleem Dar,BNJ Oxenford,Haze,16.0,46.0,0,26.0,WNW,Delhi,18:00:00
24,548357,Delhi,07/05/12,JH Kallis,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,6.0,N,,JD Cloete,S Ravi,Haze,17.0,34.0,0,31.0,WSW,Delhi,18:00:00
25,548372,Delhi,17/05/12,CH Gayle,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,runs,21.0,N,,HDPK Dharmasena,C Shamshuddin,Widespread Dust,19.0,43.0,0,30.0,,Delhi,18:00:00
26,598001,Delhi,06/04/13,R Dravid,Feroz Shah Kotla,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,5.0,N,,S Das,C Shamshuddin,Haze,11.0,30.0,0,25.0,NW,Delhi,18:00:00
27,598010,Delhi,12/04/13,A Mishra,Feroz Shah Kotla,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,3.0,N,,Aleem Dar,Subroto Das,Haze,16.0,46.0,0,26.0,NW,Delhi,18:00:00
28,598020,Delhi,18/04/13,MEK Hussey,Feroz Shah Kotla,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,86.0,N,,M Erasmus,VA Kulkarni,Haze,15.0,44.0,0,25.0,,Delhi,18:00:00
29,598059,Delhi,23/04/13,Harmeet Singh,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,5.0,N,,VA Kulkarni,K Srinath,Haze,19.0,54.0,0,26.0,,Delhi,18:00:00
30,598070,Delhi,21/05/13,MEK Hussey,Feroz Shah Kotla,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,48.0,N,,NJ Llong,RJ Tucker,Haze,16.0,25.0,0,33.0,West,Delhi,18:00:00
31,598071,Delhi,22/05/13,BJ Hodge,Feroz Shah Kotla,0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,4.0,N,,S Ravi,RJ Tucker,Haze,20.0,40.0,0,32.0,WSW,Delhi,18:00:00
32,733975,Delhi,03/05/14,KK Nair,Feroz Shah Kotla,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,,SS Hazare,S Ravi,Haze,17.0,36.0,0,29.0,,Delhi,18:00:00
33,733981,Delhi,05/05/14,DR Smith,Feroz Shah Kotla,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,N,,RM Deshpande,BNJ Oxenford,Light Rain,24.0,82.0,1,26.0,NNE,Delhi,18:00:00
34,733985,Delhi,07/05/14,G Gambhir,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,8.0,N,,BNJ Oxenford,C Shamshuddin,Haze,23.0,62.0,0,30.0,,Delhi,18:00:00
35,733993,Delhi,10/05/14,DW Steyn,Feroz Shah Kotla,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,N,D/L,RM Deshpande,BNJ Oxenford,Haze,15.0,39.0,0,26.0,North,Delhi,18:00:00
36,734019,Delhi,19/05/14,AR Patel,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,4.0,N,,HDPK Dharmasena,PG Pathak,Haze,14.0,25.0,0,32.0,NW,Delhi,18:00:00
37,829715,Delhi,12/04/15,DJ Hooda,Feroz Shah Kotla,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,N,,SD Fry,CB Gaffaney,Mist,19.0,75.0,0,23.0,East,Delhi,18:00:00
38,829739,Delhi,20/04/15,UT Yadav,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,N,,SD Fry,CB Gaffaney,Haze,18.0,35.0,0,32.0,SSW,Delhi,18:00:00
39,829747,Delhi,23/04/15,SS Iyer,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37.0,N,,SD Fry,CK Nandan,Haze,18.0,47.0,0,27.0,SE,Delhi,18:00:00
40,829757,Delhi,26/04/15,VR Aaron,Feroz Shah Kotla,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10.0,N,,M Erasmus,S Ravi,Haze,21.0,61.0,0,27.0,East,Delhi,18:00:00
41,829767,Delhi,01/05/15,NM Coulter-Nile,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,9.0,N,,RK Illingworth,S Ravi,Haze,21.0,52.0,0,30.0,,Delhi,18:00:00
42,980913,Delhi,15/04/16,A Mishra,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,8.0,N,,S Ravi,C Shamshuddin,Haze,16.0,38.0,0,28.0,,Delhi,18:00:00
43,980933,Delhi,23/04/16,SV Samson,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,10.0,N,,S Ravi,C Shamshuddin,Haze,12.0,37.0,0,24.0,,Delhi,18:00:00
44,980945,Delhi,27/04/16,CH Morris,Feroz Shah Kotla,0,Delhi Capitals,Gujarat Lions,Delhi Capitals,field,Gujarat Lions,runs,1.0,N,,M Erasmus,S Ravi,Haze,16.0,46.0,0,26.0,,Delhi,18:00:00
45,980951,Delhi,30/04/16,CR Brathwaite,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,27.0,N,,KN Ananthapadmanabhan,M Erasmus,Haze,16.0,40.0,0,27.0,,Delhi,18:00:00
46,980965,Delhi,05/05/16,AM Rahane,Feroz Shah Kotla,0,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,7.0,N,,C Shamshuddin,RJ Tucker,Haze,15.0,36.0,0,27.0,SSW,Delhi,18:00:00
47,981015,Delhi,25/05/16,MC Henriques,Feroz Shah Kotla,0,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,22.0,N,,M Erasmus,C Shamshuddin,Haze,20.0,47.0,0,29.0,,Delhi,18:00:00
48,981017,Delhi,27/05/16,DA Warner,Feroz Shah Kotla,0,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,4.0,N,,M Erasmus,CK Nandan,Haze,19.0,31.0,0,34.0,WSW,Delhi,18:00:00
49,1082605,Delhi,15/04/17,CJ Anderson,Feroz Shah Kotla,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Delhi Capitals,runs,51.0,N,,YC Barde,Nitin Menon,Haze,14.0,34.0,0,27.0,,Delhi,18:00:00
50,1082608,Delhi,17/04/17,NM Coulter-Nile,Feroz Shah Kotla,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,4.0,N,,Nitin Menon,CK Nandan,Haze,21.0,53.0,0,29.0,,Delhi,18:00:00
